,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hermanus,4,ZA,1615667934,70,-34.4187,19.2345,72.0,3.0
1,nalut,92,LY,1615667779,46,30.3333,10.85,60.85,20.78
2,hasaki,75,JP,1615667772,58,35.7333,140.8333,51.8,11.5
3,victoria,41,HK,1615667662,84,22.2855,114.1577,70.0,1.99
4,pangody,99,RU,1615667935,96,65.85,74.4859,-1.68,12.17
5,burns lake,100,CA,1615667935,49,54.2331,-125.7533,48.2,10.36
6,thompson,20,CA,1615667912,53,55.7435,-97.8558,19.4,13.8
7,lianran,0,CN,1615667936,71,24.9227,102.485,55.0,8.95
8,santander,20,ES,1615667883,71,43.4647,-3.8044,55.4,12.66
9,souillac,40,MU,1615667936,78,-20.5167,57.5167,80.6,5.75
10,aurora,90,US,1615667818,100,39.7294,-104.8319,34.0,13.8
11,sereflikochisar,98,TR,1615667937,41,38.9393,33.5386,45.75,2.46
12,puerto escondido,1,MX,1615667938,74,15.85,-97.0667,86.0,11.5
13,saskylakh,24,RU,1615667938,94,71.9167,114.0833,-10.46,4.76
14,palmeiras de goias,85,BR,1615667939,88,-16.805,-49.9258,76.19,2.93
15,hofn,98,IS,1615667939,57,64.2539,-15.2082,33.57,17.38
16,gornopravdinsk,62,RU,1615667940,96,60.05,69.9,11.5,7.23
17,ratnagiri,10,IN,1615667940,57,16.9833,73.3,77.29,0.78
18,mataura,3,NZ,1615667941,75,-46.1927,168.8643,59.0,3.0
19,ushuaia,75,AR,1615667891,70,-54.8,-68.3,44.6,39.12
20,busselton,0,AU,1615667716,91,-33.65,115.3333,50.0,11.65
21,nata,40,PA,1615667941,65,8.3333,-80.5167,84.2,8.05
22,longyearbyen,91,SJ,1615667942,94,78.2186,15.6401,-4.65,5.21
23,mar del plata,0,AR,1615667943,64,-38.0023,-57.5575,71.6,13.8
24,korla,15,CN,1615667943,37,41.7597,86.1469,49.64,4.05
25,faanui,50,PF,1615667944,72,-16.4833,-151.75,82.85,13.98
26,killybegs,75,IE,1615667944,81,54.6333,-8.45,46.4,13.8
27,ler,76,SS,1615667945,24,8.3018,30.1418,89.28,4.88
28,richards bay,0,ZA,1615667945,82,-28.783,32.0377,75.42,13.4
29,butaritari,62,KI,1615667917,80,3.0707,172.7902,80.6,11.61
30,punta arenas,20,CL,1615667946,43,-53.15,-70.9167,51.8,23.02
